hour,plug,value
14,9,1568.2649999999974
14,11,34657.30000000006
15,2,69312.0159999999
15,3,11.994
15,5,247288.60099999967
15,6,191655.51699999935
15,7,37706.697000000015
15,11,34620.16400000005
16,2,65159.37299999989
16,3,8.01
16,5,231277.7960000002
16,6,179998.02999999968
16,7,36757.52799999991
16,11,33911.54800000004
17,2,70200.0809999997
17,3,9.876999999999997
17,5,227577.12599999947
17,6,177279.25200000074
17,7,37350.68799999997
17,11,34328.977000000035
18,2,67479.80099999989
18,3,8.114
18,5,220958.87399999987
18,6,171675.85200000065
18,7,36899.90000000006
18,9,13255.271000000015
18,11,33814.89200000004
19,2,68115.165
19,3,9.051
19,4,17932.895999999997
19,5,227209.32499999943
19,6,177062.99100000074
19,7,37480.60400000015
19,9,5410.190000000031
19,11,34278.387000000024
20,2,68981.76299999976
20,3,7.648
20,4,11586.68699999999
20,5,24953.71199999982
20,6,19468.606000000076
20,7,37792.206000000035
20,9,2636.656000000003
20,11,34547.90500000011
21,2,44708.50900000066
21,3,13.748000000000001
21,5,4790.751999999959
21,6,3713.4700000000025
21,7,70114.29799999982
21,9,1243.0699999999986
21,11,63994.19199999997
22,2,17753.45799999986
22,3,10.754999999999997
22,5,4795.808999999962
22,6,3728.6740000000027
22,7,37072.37899999999
22,9,1718.6439999999996
22,11,33991.906999999985
23,2,17747.22199999981
23,3,11.698
23,5,4787.781999999962
23,6,3718.0190000000025
23,7,37207.714000000036
23,9,1114.8069999999984
23,11,34194.189000000006
24,2,17709.096999999816
24,3,10.555
24,5,4767.154999999959
24,6,3725.36900000001
24,7,37428.16699999998
24,9,1631.3799999999972
24,11,34348.663
25,2,17671.22199999983
25,3,13.767999999999997
25,5,4780.936999999958
25,6,3725.0250000000024
25,7,37845.54099999996
25,9,996.2339999999987
25,11,34769.00800000006
26,2,17672.227999999835
26,3,14.221
26,5,4743.827999999972
26,6,3698.6560000000036
26,7,37485.969999999965
26,9,774.3529999999989
26,11,34420.73300000005
27,2,17829.22999999983
27,3,10.672
27,5,4793.9979999999605
27,6,3732.053000000003
27,7,36900.289999999986
27,9,791.6019999999999
27,11,33904.17900000008
28,2,17940.051999999778
28,3,12.012
28,5,4848.099999999951
28,6,3768.958000000004
28,7,37379.35800000004
28,9,892.2659999999998
28,11,34386.33000000008
29,2,60500.89399999994
29,3,4.994
29,5,4858.604999999961
