min,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
0,1522.631,0,0,0,0,0,0,0,0,0,0,0
1,1565.985,0,0,0,0,0,0,0,0,0,0,0
2,1721.1889999999994,0,0,0,0,0,0,0,0,0,0,0
3,1636.1209999999999,0,0,0,0,0,0,0,0,0,0,0
4,1587.9109999999998,0,0,0,0,0,0,0,0,0,0,0
5,1442.7210000000002,0,0,0,0,0,0,0,0,0,0,0
6,1604.3700000000001,0,0,0,0,0,0,0,0,0,0,0
7,1704.1600000000008,0,0,0,0,0,0,0,0,0,0,0
8,1706.456,0,0,0,0,0,0,0,0,0,0,0
9,1421.5940000000005,0,0,0,0,0,0,0,0,0,0,0
10,1440.9230000000007,0,0,0,0,0,0,0,0,0,0,0
11,1693.8599999999997,0,0,0,0,0,0,0,0,0,0,0
12,1562.8960000000002,0,0,0,0,0,0,0,0,0,0,0
13,1637.4470000000001,0,0,0,0,0,0,0,0,0,0,0
14,1394.228,0,0,0,0,0,0,0,0,0,0,0
15,1596.0109999999995,0,0,0,0,0,0,0,0,0,0,0
16,1574.382,0,0,0,0,0,0,0,0,0,0,0
17,1638.8680000000006,0,0,0,0,0,0,0,0,0,0,0
18,1445.4430000000002,0,0,0,0,0,0,0,0,0,0,0
19,1510.8270000000002,0,0,0,0,0,0,0,0,0,0,0
20,1627.951,0,0,0,0,0,0,0,0,0,0,0
21,1674.0659999999998,0,0,0,0,0,0,0,0,0,0,0
22,1539.0529999999994,0,0,0,0,0,0,0,0,0,0,0
23,1431.9369999999994,0,0,0,0,0,0,0,0,0,0,0
24,1554.3210000000004,0,0,0,0,0,0,0,0,0,0,0
25,1727.9950000000001,0,0,0,0,0,0,0,0,0,0,0
26,1639.7199999999996,0,0,0,0,0,0,0,0,0,0,0
27,1561.64,0,0,0,0,0,0,0,0,0,0,0
28,1317.284,0,0,0,0,0,0,0,0,0,0,0
29,1664.5329999999994,0,0,0,0,0,0,0,0,0,0,0
30,1641.1260000000002,0,0,0,0,0,0,0,0,0,0,0
31,1623.9429999999995,0,0,0,0,0,0,0,0,0,0,0
32,1429.1419999999994,0,0,0,0,0,0,0,0,0,0,0
