hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
0,93394.79800000026,0,0,0,0,0,0,0,0,0,0,0
1,91095.37200000024,0,0,0,0,0,0,0,0,0,0,0
2,94546.8220000004,0,0,0,0,0,0,0,0,0,0,0
3,92827.10400000046,0,0,0,0,0,0,0,0,0,0,0
4,93349.62200000037,0,0,0,0,0,0,0,0,0,0,0
5,93226.93000000037,0,0,0,0,0,0,0,0,0,0,0
6,216368.04800000065,0,0,0,0,0,0,0,0,0,0,0
7,580900.4180000013,0,0,0,0,0,0,0,0,0,0,0
8,533944.7449999984,0,0,0,0,0,0,0,0,0,0,0
9,609588.0029999973,0,0,0,0,0,0,0,0,0,0,0
10,571778.1129999986,0,0,0,0,0,0,0,0,0,0,0
11,517673.36899999995,0,0,0,0,0,0,0,0,0,0,0
12,550611.5919999995,0,0,0,0,0,0,0,0,0,0,0
13,558296.454,0,0,0,0,0,0,0,0,0,0,0
14,566562.8300000008,0,0,0,0,0,0,0,0,0,0,0
15,565742.2269999996,0,0,0,0,0,0,0,0,0,0,0
16,531202.6279999987,0,0,0,0,0,0,0,0,0,0,0
17,533364.2439999977,0,0,0,0,0,0,0,0,0,0,0
18,528044.4210000003,0,0,0,0,0,0,0,0,0,0,0
19,548017.7820000005,0,0,0,0,0,0,0,0,0,0,0
20,187922.88799999934,0,0,0,0,0,0,0,0,0,0,0
21,181000.10800000041,0,0,0,0,0,0,0,0,0,0,0
22,91579.75500000046,0,0,0,0,0,0,0,0,0,0,0
23,93803.61800000019,0,0,0,0,0,0,0,0,0,0,0
24,94842.24899999998,0,0,0,0,0,0,0,0,0,0,0
25,93416.50400000055,0,0,0,0,0,0,0,0,0,0,0
26,92613.15700000056,0,0,0,0,0,0,0,0,0,0,0
27,94060.80500000037,0,0,0,0,0,0,0,0,0,0,0
28,92559.8100000007,0,0,0,0,0,0,0,0,0,0,0
29,135248.52700000006,0,0,0,0,0,0,0,0,0,0,0
30,145340.69400000054,0,0,0,0,0,0,0,0,0,0,0
31,141087.53500000067,0,0,0,0,0,0,0,0,0,0,0
32,93836.87100000077,0,0,0,0,0,0,0,0,0,0,0
33,262486.690000001,0,0,0,0,0,0,0,0,0,0,0
34,548409.1199999999,0,0,0,0,0,0,0,0,0,0,0
35,519537.3019999988,0,0,0,0,0,0,0,0,0,0,0
36,526662.6090000005,0,0,0,0,0,0,0,0,0,0,0
37,446003.58200000064,0,0,0,0,0,0,0,0,0,0,0
38,123954.00100000024,0,0,0,0,0,0,0,0,0,0,0
39,496351.7509999994,0,0,0,0,0,0,0,0,0,0,0
40,552957.4429999983,0,0,0,0,0,0,0,0,0,0,0
41,507745.96799999947,0,0,0,0,0,0,0,0,0,0,0
