min,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
0,1522.631,0,0,1,0,0,1,1,1,0,0,1
1,1565.985,0,0,1,0,0,1,1,1,0,0,1
2,1721.1889999999994,0,0,1,0,0,1,1,1,0,0,1
3,1636.1209999999999,0,0,1,0,0,1,1,1,0,0,1
4,1587.9109999999998,0,0,1,0,0,1,1,1,0,0,1
5,1442.7210000000002,0,0,1,0,0,1,1,1,0,0,1
6,1604.3700000000001,0,0,1,0,0,1,1,1,0,0,1
7,1704.1600000000008,0,0,1,0,0,1,1,1,0,0,1
8,1706.456,0,0,1,0,0,1,1,1,0,0,1
9,1421.5940000000005,0,0,1,0,0,1,1,1,0,0,1
10,1440.9230000000007,0,0,1,0,0,1,1,1,0,0,1
11,1693.8599999999997,0,0,1,0,0,1,1,1,0,0,1
12,1562.8960000000002,0,0,1,0,0,1,1,1,0,0,1
13,1637.4470000000001,0,0,1,0,0,1,1,1,0,0,1
14,1394.228,0,0,1,0,0,1,1,1,0,0,1
15,1596.0109999999995,0,0,1,0,0,1,1,1,0,0,1
16,1574.382,0,0,1,0,0,1,1,1,0,0,1
17,1638.8680000000006,0,0,1,0,0,1,1,1,0,0,1
18,1445.4430000000002,0,0,1,0,0,1,1,1,0,0,1
19,1510.8270000000002,0,0,1,0,0,1,1,1,0,0,1
20,1627.951,0,0,1,0,0,1,1,1,0,0,1
21,1674.0659999999998,0,0,1,0,0,1,1,1,0,0,1
22,1539.0529999999994,0,0,1,0,0,1,1,1,0,0,1
23,1431.9369999999994,0,0,1,0,0,1,1,1,0,0,1
24,1554.3210000000004,0,0,1,0,0,1,1,1,0,0,1
25,1727.9950000000001,0,0,1,0,0,1,1,1,0,0,1
26,1639.7199999999996,0,0,1,0,0,1,1,1,0,0,1
27,1561.64,0,0,1,0,0,1,1,1,0,0,1
28,1317.284,0,0,1,0,0,1,1,1,0,0,1
29,1664.5329999999994,0,0,1,0,0,1,1,1,0,0,1
30,1641.1260000000002,0,0,1,0,0,1,1,1,0,0,1
31,1623.9429999999995,0,0,1,0,0,1,1,1,0,0,1
32,1429.1419999999994,0,0,1,0,0,1,1,1,0,0,1
33,1596.275,0,0,1,0,0,1,1,1,0,0,1
34,1697.8480000000002,0,0,1,0,0,1,1,1,0,0,1
35,1655.0250000000003,0,0,1,0,0,1,1,1,0,0,1
36,1615.1830000000002,0,0,1,0,0,1,1,1,0,0,1
37,1459.6540000000005,0,0,1,0,0,1,1,1,0,0,1
38,1462.3720000000003,0,0,1,0,0,1,1,1,0,0,1
39,1638.9060000000004,0,0,1,0,0,1,1,1,0,0,1
40,1647.5620000000001,0,0,1,0,0,1,1,1,0,0,1
41,1444.8389999999997,0,0,1,0,0,1,1,1,0,0,1
42,1294.9840000000002,0,0,1,0,0,1,1,1,0,0,1
43,1617.403,0,0,1,0,0,1,1,1,0,0,1
44,1638.3350000000003,0,0,1,0,0,1,1,1,0,0,1
45,1572.5900000000001,0,0,1,0,0,1,1,1,0,0,1
46,1536.2680000000003,0,0,1,0,0,1,1,1,0,0,1
47,1387.7160000000003,0,0,1,0,0,1,1,1,0,0,1
48,1634.5370000000003,0,0,1,0,0,1,1,1,0,0,1
49,1694.7670000000003,0,0,1,0,0,1,1,1,0,0,1
50,1482.581,0,0,1,0,0,1,1,1,0,0,1
51,1537.5400000000004,0,0,1,0,0,1,1,1,0,0,1
52,1580.2120000000007,0,0,1,0,0,1,1,1,0,0,1
53,1680.2549999999997,0,0,1,0,0,1,1,1,0,0,1
54,1618.1439999999998,0,0,1,0,0,1,1,1,0,0,1
55,1588.9759999999999,0,0,1,0,0,1,1,1,0,0,1
56,1479.2450000000001,0,0,1,0,0,1,1,1,0,0,1
57,1537.794,0,0,1,0,0,1,1,1,0,0,1
58,1663.1970000000003,0,0,1,0,0,1,1,1,0,0,1
59,791.8559999999999,0,0,1,0,0,1,1,1,0,0,1
60,4.937,0,0,0,0,0,1,1,0,0,0,0
61,562.9140000000001,0,0,1,0,0,1,1,1,0,0,1
62,1792.4590000000003,0,0,1,0,0,1,1,1,0,0,1
63,1495.772,0,0,1,0,0,1,1,1,0,0,1
64,1637.267,0,0,1,0,0,1,1,1,0,0,1
65,1389.857,0,0,1,0,0,1,1,1,0,0,1
66,1467.885,0,0,1,0,0,1,1,1,0,0,1
67,1592.582,0,0,1,0,0,1,1,1,0,0,1
68,1671.1650000000002,0,0,1,0,0,1,1,1,0,0,1
69,1463.958,0,0,1,0,0,1,1,1,0,0,1
70,1482.446,0,0,1,0,0,1,1,1,0,0,1
71,1591.5150000000003,0,0,1,0,0,1,1,1,0,0,1
72,1722.7180000000005,0,0,1,0,0,1,1,1,0,0,1
73,1701.8840000000005,0,0,1,0,0,1,1,1,0,0,1
74,1494.7210000000002,0,0,1,0,0,1,1,1,0,0,1
75,1567.2420000000002,0,0,1,0,0,1,1,1,0,0,1
76,1647.816,0,0,1,0,0,1,1,1,0,0,1
77,1613.5819999999997,0,0,1,0,0,1,1,1,0,0,1
78,1537.5700000000002,0,0,1,0,0,1,1,1,0,0,1
79,1328.6349999999998,0,0,1,0,0,1,1,1,0,0,1
80,1599.4420000000002,0,0,1,0,0,1,1,1,0,0,1
81,1661.659,0,0,1,0,0,1,1,1,0,0,1
82,1651.6049999999998,0,0,1,0,0,1,1,1,0,0,1
83,1498.932,0,0,1,0,0,1,1,1,0,0,1
84,1512.7990000000002,0,0,1,0,0,1,1,1,0,0,1
85,1629.6939999999997,0,0,1,0,0,1,1,1,0,0,1
86,1671.0249999999999,0,0,1,0,0,1,1,1,0,0,1
87,1461.5529999999997,0,0,1,0,0,1,1,1,0,0,1
88,1468.5679999999998,0,0,1,0,0,1,1,1,0,0,1
89,1584.4010000000003,0,0,1,0,0,1,1,1,0,0,1
90,1528.5800000000002,0,0,1,0,0,1,1,1,0,0,1
91,1621.0200000000004,0,0,1,0,0,1,1,1,0,0,1
92,1600.7969999999998,0,0,1,0,0,1,1,1,0,0,1
93,1455.713,0,0,1,0,0,1,1,1,0,0,1
94,1602.094,0,0,1,0,0,1,1,1,0,0,1
95,1653.4650000000001,0,0,1,0,0,1,1,1,0,0,1
96,1580.501,0,0,1,0,0,1,1,1,0,0,1
97,1419.4509999999996,0,0,1,0,0,1,1,1,0,0,1
98,1399.7459999999999,0,0,1,0,0,1,1,1,0,0,1
99,1671.8750000000007,0,0,1,0,0,1,1,1,0,0,1
100,1595.904,0,0,1,0,0,1,1,1,0,0,1
101,1652.2079999999996,0,0,1,0,0,1,1,1,0,0,1
102,1518.1000000000004,0,0,1,0,0,1,1,1,0,0,1
103,1375.0169999999996,0,0,1,0,0,1,1,1,0,0,1
104,1693.8320000000003,0,0,1,0,0,1,1,1,0,0,1
105,1557.597,0,0,1,0,0,1,1,1,0,0,1
106,1535.312,0,0,1,0,0,1,1,1,0,0,1
107,1371.7680000000003,0,0,1,0,0,1,1,1,0,0,1
108,1620.523,0,0,1,0,0,1,1,1,0,0,1
109,1639.394,0,0,1,0,0,1,1,1,0,0,1
110,1573.3429999999998,0,0,1,0,0,1,1,1,0,0,1
111,1586.4239999999998,0,0,1,0,0,1,1,1,0,0,1
112,1430.557,0,0,1,0,0,1,1,1,0,0,1
113,1508.6089999999997,0,0,1,0,0,1,1,1,0,0,1
114,1571.9879999999998,0,0,1,0,0,1,1,1,0,0,1
115,1554.13,0,0,1,0,0,1,1,1,0,0,1
116,1448.605000000001,0,0,1,0,0,1,1,1,0,0,1
117,1609.365,0,0,1,0,0,1,1,1,0,0,1
118,1639.6720000000003,0,0,1,0,0,1,1,1,0,0,1
119,1573.1789999999996,0,0,1,0,0,1,1,1,0,0,1
120,1605.8649999999996,0,0,1,0,0,1,1,1,0,0,1
121,1658.0550000000003,0,0,1,0,0,1,1,1,0,0,1
122,1681.133,0,0,1,0,0,1,1,1,0,0,1
123,1531.7679999999998,0,0,1,0,0,1,1,1,0,0,1
124,1436.91,0,0,1,0,0,1,1,1,0,0,1
125,1597.03,0,0,1,0,0,1,1,1,0,0,1
126,1680.6599999999999,0,0,1,0,0,1,1,1,0,0,1
127,1431.4679999999998,0,0,1,0,0,1,1,1,0,0,1
128,1576.9669999999999,0,0,1,0,0,1,1,1,0,0,1
129,1634.0200000000007,0,0,1,0,0,1,1,1,0,0,1
130,1563.136,0,0,1,0,0,1,1,1,0,0,1
131,1574.763,0,0,1,0,0,1,1,1,0,0,1
132,1713.693,0,0,1,0,0,1,1,1,0,0,1
133,1613.788,0,0,1,0,0,1,1,1,0,0,1
134,1635.0799999999997,0,0,1,0,0,1,1,1,0,0,1
135,1452.5849999999996,0,0,1,0,0,1,1,1,0,0,1
136,1551.913,0,0,1,0,0,1,1,1,0,0,1
137,1620.0600000000002,0,0,1,0,0,1,1,1,0,0,1
138,1519.011,0,0,1,0,0,1,1,1,0,0,1
139,1338.5159999999996,0,0,1,0,0,1,1,1,0,0,1
140,1618.924,0,0,1,0,0,1,1,1,0,0,1
141,1642.4130000000002,0,0,1,0,0,1,1,1,0,0,1
142,1507.6799999999996,0,0,1,0,0,1,1,1,0,0,1
143,1577.9840000000002,0,0,1,0,0,1,1,1,0,0,1
144,1680.6969999999994,0,0,1,0,0,1,1,1,0,0,1
145,1729.615,0,0,1,0,0,1,1,1,0,0,1
146,1445.6599999999999,0,0,1,0,0,1,1,1,0,0,1
147,1562.9770000000005,0,0,1,0,0,1,1,1,0,0,1
148,1597.5500000000002,0,0,1,0,0,1,1,1,0,0,1
149,1603.685,0,0,1,0,0,1,1,1,0,0,1
150,1423.173,0,0,1,0,0,1,1,1,0,0,1
151,1570.9690000000005,0,0,1,0,0,1,1,1,0,0,1
152,1682.3259999999993,0,0,1,0,0,1,1,1,0,0,1
153,1516.1809999999998,0,0,1,0,0,1,1,1,0,0,1
154,1608.9349999999995,0,0,1,0,0,1,1,1,0,0,1
155,1606.7180000000005,0,0,1,0,0,1,1,1,0,0,1
156,1640.861,0,0,1,0,0,1,1,1,0,0,1
157,1541.0080000000003,0,0,1,0,0,1,1,1,0,0,1
158,1452.9930000000002,0,0,1,0,0,1,1,1,0,0,1
159,1653.4019999999998,0,0,1,0,0,1,1,1,0,0,1
160,1623.0200000000002,0,0,1,0,0,1,1,1,0,0,1
161,1438.5720000000001,0,0,1,0,0,1,1,1,0,0,1
162,1536.1129999999998,0,0,1,0,0,1,1,1,0,0,1
163,1589.2910000000004,0,0,1,0,0,1,1,1,0,0,1
164,1526.8480000000002,0,0,1,0,0,1,1,1,0,0,1
165,1524.9470000000008,0,0,1,0,0,1,1,1,0,0,1
166,1588.3990000000003,0,0,1,0,0,1,1,1,0,0,1
167,1746.9650000000001,0,0,1,0,0,1,1,1,0,0,1
168,1680.1350000000002,0,0,1,0,0,1,1,1,0,0,1
169,1447.3319999999997,0,0,1,0,0,1,1,1,0,0,1
170,1616.2429999999995,0,0,1,0,0,1,1,1,0,0,1
171,1634.8319999999999,0,0,1,0,0,1,1,1,0,0,1
172,1643.747,0,0,1,0,0,1,1,1,0,0,1
173,1435.1929999999998,0,0,1,0,0,1,1,1,0,0,1
174,1598.5339999999997,0,0,1,0,0,1,1,1,0,0,1
175,1592.0400000000002,0,0,1,0,0,1,1,1,0,0,1
176,1436.7429999999997,0,0,1,0,0,1,1,1,0,0,1
177,1509.7680000000003,0,0,1,0,0,1,1,1,0,0,1
178,1645.0100000000002,0,0,1,0,0,1,1,1,0,0,1
179,1652.9180000000001,0,0,1,0,0,1,1,1,0,0,1
180,1489.9540000000002,0,0,1,0,0,1,1,1,0,0,1
181,1590.6439999999996,0,0,1,0,0,1,1,1,0,0,1
182,1633.517,0,0,1,0,0,1,1,1,0,0,1
183,1605.9759999999997,0,0,1,0,0,1,1,1,0,0,1
184,1462.895,0,0,1,0,0,1,1,1,0,0,1
185,1576.3649999999998,0,0,1,0,0,1,1,1,0,0,1
186,1596.507,0,0,1,0,0,1,1,1,0,0,1
187,1378.3829999999994,0,0,1,0,0,1,1,1,0,0,1
188,1488.3089999999995,0,0,1,0,0,1,1,1,0,0,1
189,1633.858,0,0,1,0,0,1,1,1,0,0,1
190,1662.692,0,0,1,0,0,1,1,1,0,0,1
191,1607.4420000000005,0,0,1,0,0,1,1,1,0,0,1
192,1539.417,0,0,1,0,0,1,1,1,0,0,1
193,1502.4069999999995,0,0,1,0,0,1,1,1,0,0,1
194,1656.0490000000002,0,0,1,0,0,1,1,1,0,0,1
195,1517.5010000000002,0,0,1,0,0,1,1,1,0,0,1
196,1545.8290000000002,0,0,1,0,0,1,1,1,0,0,1
197,1432.6080000000002,0,0,1,0,0,1,1,1,0,0,1
198,1471.181,0,0,1,0,0,1,1,1,0,0,1
199,1566.8440000000005,0,0,1,0,0,1,1,1,0,0,1
200,1680.3640000000003,0,0,1,0,0,1,1,1,0,0,1
