hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
-3,846.884,0,0,0,0,0,0,0,0,0,0,0
-2,104850.58600000018,0,0,1,0,0,1,1,1,0,0,1
-1,103727.9620000003,0,0,1,0,0,1,1,1,0,0,1
0,99711.52000000025,0,0,0,0,0,0,0,1,0,0,1
1,97289.96500000014,0,0,1,0,0,0,0,0,0,0,0
2,98767.31500000045,0,0,0,0,0,1,1,1,0,0,1
3,99174.26000000039,0,0,0,0,0,0,0,1,0,0,1
4,99642.48300000034,0,0,0,0,0,1,1,0,0,0,0
5,99270.87300000039,0,0,1,0,0,0,0,1,0,0,1
6,223681.37600000063,0,0,1,0,0,1,1,1,0,0,1
7,594084.6300000014,0,0,1,0,0,0,0,0,0,0,0
8,549682.0409999989,0,0,1,0,0,0,0,0,0,0,0
9,623752.7909999972,0,0,1,0,0,1,1,0,0,0,0
10,596578.5369999984,0,0,1,0,0,0,0,0,0,0,0
11,548885.7370000004,0,0,1,0,0,0,0,1,0,1,1
12,572159.2519999987,0,0,0,0,0,1,1,1,0,1,1
13,573125.8920000003,0,0,1,0,0,0,0,0,0,1,0
14,578971.6360000011,0,0,1,0,0,1,1,0,0,0,0
15,580594.9890000002,0,0,0,0,0,1,1,0,0,0,0
16,547112.2849999992,0,0,0,0,0,1,1,0,0,0,0
17,546746.0009999985,0,0,0,0,0,1,1,1,0,0,1
18,544092.704,0,0,0,0,0,0,0,0,0,1,0
19,567498.6090000005,0,0,1,0,0,0,0,1,0,0,1
20,199975.18299999877,0,0,0,0,0,1,1,0,0,0,0
21,188578.03900000046,0,0,1,0,0,1,1,0,0,0,0
22,99071.62600000013,0,0,1,0,0,1,1,0,0,0,0
23,98781.43100000022,0,0,0,0,0,1,1,1,0,0,1
24,99620.3860000001,0,0,1,0,0,0,0,0,0,0,0
25,99801.73500000036,0,0,1,0,0,0,0,1,0,0,1
26,98809.98900000019,0,0,0,0,0,1,1,0,0,0,0
27,97962.02400000008,0,0,0,0,0,1,1,1,0,0,1
28,99227.07600000057,0,0,0,0,0,1,1,0,0,0,0
29,141459.0529999999,0,0,0,0,0,0,0,1,0,0,1
30,150469.6750000002,0,0,1,0,0,0,0,0,0,0,0
31,148824.17500000034,0,0,1,0,0,0,0,0,0,0,0
32,99283.8260000003,0,0,1,0,0,0,0,1,0,0,1
33,268983.51200000057,0,0,0,0,0,0,0,1,0,0,1
34,562255.3370000002,0,0,1,0,0,0,0,1,0,0,1
35,532782.5099999998,0,0,0,0,0,1,1,1,0,0,1
36,540874.6760000008,0,0,0,0,0,1,1,1,0,0,1
37,460110.80200000067,0,0,0,0,0,0,0,1,0,0,1
38,130992.03100000012,0,0,0,0,0,1,1,1,0,0,1
39,509768.58899999986,0,0,0,0,0,1,1,1,0,0,1
40,568429.7279999988,0,0,1,0,0,0,0,0,0,0,0
41,523228.14599999954,0,0,0,0,0,1,1,1,0,0,1
42,621459.2840000017,0,0,1,0,0,0,0,1,0,0,1
43,590376.904,1,0,1,0,0,0,0,0,1,0,0
44,545793.6929999997,0,0,1,0,0,0,0,1,0,0,1
45,214801.60400000025,0,0,0,0,0,0,0,0,0,0,0
46,91297.96000000012,0,0,1,0,0,1,1,0,0,0,0
47,98555.57200000012,0,0,0,0,0,0,0,1,0,0,1
